,block_soc_mc_1,block_soc_mc_2,block_soc_mc_3,block_soc_mc_4,block_soc_mc_5,block_soc_mc_6,block_soc_mc_7,block_soc_mc_8,block_soc_mc_9,block_soc_mc_10,block_soc_mc_11,block_soc_mc_12,block_soc_mc_13,block_soc_mc_14,block_soc_mc_15,block_soc_mc_16,block_soc_mc_17,block_soc_mc_18,block_soc_mc_19,block_soc_mc_20,block_soc_mc_21,block_soc_mc_22,block_soc_mc_23,block_soc_mc_24,block_soc_mc_25,block_soc_mc_26,block_soc_mc_27,block_soc_mc_28,block_soc_mc_29,block_soc_mc_30,block_soc_mc_31,block_soc_mc_32,block_soc_mc_33,block_soc_mc_34,block_soc_mc_35,block_soc_mc_36
Episode 11,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167,2462.7870636032167
Episode 12,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098,720.2684640453098
Episode 13,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956,1337.247621596956
Episode 14,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297,2434.355144623297
Episode 15,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616,23869.407469769616
Episode 16,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548,16038.597997990548
Episode 17,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874,7483.221860780874
Episode 18,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983,2176.8532718725983
Episode 19,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393,841.2928498151393
Episode 20,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092,1002.5533573234092
Episode 21,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789,622.6115502969789
