,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 126,5366.54959,5358.567115,5349.759691,5338.64943,5332.71404,5324.370128,5315.31496,5308.384948,5301.640064,5293.660562,5283.186884,5276.240702,5268.022022,5257.049512,5243.248812,5238.093576,5231.995603,5225.219954,5217.350228,5206.849836,5205.91649,5202.817705,5195.585836,5163.13722,5129.522199,5096.719778,5067.71395,5039.027208,5007.118178,4975.315538,4940.625826,4906.657175,4872.621514,4839.963536,4807.874598,4769.895148
Episode 127,5358.559344,5349.89759,5340.015149,5333.157958,5324.800459,5316.182254,5308.62595,5301.324049,5293.218495,5283.720099,5276.749768,5268.956433,5259.667009,5248.51182,5242.730288,5236.294219,5229.46328,5221.955697,5212.577029,5209.482515,5204.786622,5197.696514,5165.874039,5133.420159,5101.429632,5071.738878,5042.27254,5010.924379,4979.430504,4946.247939,4913.395823,4880.63778,4848.860865,4817.27706,4779.536393,4740.886145
Episode 128,5350.014996,5340.765851,5333.385313,5325.015928,5316.612505,5308.744989,5301.168304,5293.000884,5283.982414,5277.000119,5269.41589,5260.95398,5251.099548,5245.010171,5238.407994,5231.550024,5224.220719,5215.393965,5211.236623,5205.755203,5198.734915,5167.220594,5135.338155,5103.747289,5073.719627,5043.869739,5012.797729,4981.455945,4949.015373,4916.713041,4884.584129,4853.241169,4821.906265,4784.283373,4745.938327,4709.122783
Episode 129,5341.569284,5333.467265,5325.060926,5316.672413,5308.75682,5301.156819,5292.988708,5283.993679,5277.008396,5269.427523,5260.978564,5251.135807,5245.032456,5238.421094,5231.556577,5224.221853,5215.388897,5211.229923,5205.749772,5198.72744,5167.208979,5135.319148,5103.72163,5073.695607,5043.848832,5012.771555,4981.426004,4948.972397,4916.659237,4884.517596,4853.164714,4821.822901,4784.195432,4745.842287,4709.028755,4669.156978
Episode 130,5333.724013,5325.130795,5316.740556,5308.766677,5301.150681,5292.986244,5283.991506,5277.002711,5269.412026,5260.923989,5251.007967,5244.906712,5238.294355,5231.422968,5224.068932,5215.190211,5211.101577,5205.676654,5198.646915,5167.102087,5135.163736,5103.530392,5073.529505,5043.712939,5012.610072,4981.249335,4948.7284,4916.363882,4884.163049,4852.767911,4821.400337,4783.759045,4745.374789,4708.578983,4668.612562,4632.062787
Episode 131,5325.382893,5316.425922,5308.620567,5301.381919,5293.344406,5283.53062,5276.542472,5268.538813,5258.415017,5245.860784,5240.297578,5233.96339,5227.099096,5219.330658,5209.248835,5207.375437,5203.606287,5196.41505,5164.193708,5131.002956,5098.482799,5069.200297,5040.210754,5008.490273,4976.783065,4942.610873,4909.014329,4875.4012,4843.02361,4811.083682,4773.162076,4734.078742,4697.761408,4655.574953,4620.000471,4584.807624
Episode 132,5317.399364,5309.125681,5300.599736,5292.149332,5285.055209,5278.056044,5271.398541,5266.606201,5262.624744,5255.280594,5248.020454,5241.11529,5234.673809,5228.470389,5219.420895,5210.294638,5203.620876,5173.578864,5144.423348,5114.756869,5083.153049,5051.494305,5021.759681,4991.164463,4962.304367,4932.668499,4903.594793,4874.372362,4844.267758,4807.242066,4770.401288,4732.540343,4697.485668,4658.771053,4620.389603,4584.83663
Episode 133,5308.972407,5300.362768,5291.650525,5285.765073,5278.800381,5272.851337,5270.857444,5271.457354,5263.263298,5255.574103,5248.697958,5243.01971,5238.97296,5226.027224,5213.97455,5207.596334,5178.768911,5151.860252,5123.79156,5090.911552,5057.777629,5029.158403,4999.192565,4973.309458,4945.899614,4919.378935,4891.937072,4862.874597,4826.364345,4790.794782,4752.078653,4721.043392,4680.574848,4640.409731,4608.293658,4564.681535
Episode 134,5300.861926,5291.98331,5285.435318,5278.511171,5272.343061,5269.468201,5268.705058,5260.861032,5253.360441,5246.521504,5240.663826,5236.048515,5224.208486,5212.971138,5206.521184,5177.375177,5149.87542,5121.393314,5088.861907,5056.124759,5027.219536,4997.095984,4970.44434,4942.464678,4915.291749,4887.399536,4858.078248,4821.444961,4785.558041,4747.070084,4715.014052,4675.002661,4635.300444,4602.314981,4559.581212,4520.181442
Episode 135,3478.710897,3459.161387,3444.287063,3428.902384,3416.143315,3407.945813,3393.140083,3383.262854,3373.817456,3367.945764,3358.722296,3348.685816,3341.700473,3327.678224,3320.781641,3312.672788,3308.420827,3304.840747,3302.071852,3295.026375,3289.950295,3280.534198,3281.759915,3269.528999,3267.922976,3260.423902,3257.050783,3268.896997,3262.329188,3265.965533,3276.277278,3276.060848,3280.813064,3280.235655,3283.657386,3290.743474
