,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 213,3310.991761,3389.705362,3392.125337,3380.899053,3364.143024,3352.964278,3321.531617,3284.983219,3245.988863,3259.483427,3258.387347,3258.744102,3257.600463,3270.125979,3299.866497,3311.275833,3338.919477,3343.386143,3362.950866,3367.548192,3370.526324,3368.72987,3393.067291,3424.379977,3481.248138,3482.006003,3500.769715,3550.286302,3574.842196,3581.350591,3625.90499,3667.15797,3717.10476,3734.659284,3789.974285,3854.919517
Episode 214,3291.219647,3347.138574,3345.486533,3332.990414,3322.596908,3295.232468,3262.995281,3228.28587,3238.540172,3236.903181,3236.406385,3234.645286,3244.113923,3267.801865,3276.397976,3298.428,3301.29698,3316.670501,3319.639856,3321.256995,3322.189995,3344.814336,3373.235925,3422.922385,3425.924722,3443.901422,3487.489278,3510.289817,3518.044908,3557.510759,3594.230435,3638.207402,3655.608893,3704.518083,3761.473425,3817.596386
Episode 215,0,5.115648,3.627344,3.630087,2.959829,0,2.674647,3.940403,4.873137,9.053989,7.001939,5.689271,9.150146,9.381873,7.674059,2.575893,4.440177,12.230241,8.885415,8.541536,3.884837,0,3.646206,0,0,0,0,0,0,0,7.540942,1.273029,1.961689,5.154558,0.588672,0.991057
Episode 216,3271.447529,3284.734363,3273.134483,3259.574938,3237.695104,3213.040717,3186.922696,3188.541143,3184.734401,3181.417113,3177.496739,3178.744307,3186.579529,3187.44729,3194.552453,3192.768391,3196.796266,3195.053312,3192.675367,3200.344523,3218.121279,3238.60324,3269.022045,3277.628037,3293.227046,3320.805009,3338.660013,3349.469841,3375.124799,3399.496834,3427.271865,3444.019664,3475.535194,3510.827234,3545.733782,3560.820877
Episode 217,3251.675411,3275.597043,3270.323785,3250.912693,3226.198475,3198.709662,3203.5342,3200.944831,3198.957028,3196.093689,3200.354222,3213.773262,3217.541168,3230.003752,3230.082547,3238.273263,3238.397974,3237.624922,3243.11945,3262.76481,3286.203253,3323.597602,3330.358858,3346.934784,3380.352132,3400.098986,3409.928174,3440.648873,3469.568017,3503.28454,3520.371871,3558.268727,3601.495009,3644.184976,3658.929576,3665.867609
Episode 218,3231.903297,3233.998579,3217.826099,3197.139932,3174.382282,3173.861044,3169.758934,3165.892457,3161.566424,3160.7038,3164.343907,3163.256384,3166.457878,3163.551757,3164.653611,3161.761898,3158.419347,3167.968594,3184.535748,3202.987065,3228.384471,3238.535709,3253.568139,3276.992578,3293.604354,3305.267025,3327.351132,3348.538568,3372.123568,3388.746651,3415.764881,3445.449536,3474.869907,3490.321043,3501.865597,3513.384467
Episode 219,3212.131178,3152.45351,3128.056769,3111.626846,3093.720685,3083.03463,3072.072963,3062.149831,3045.260341,3019.173247,3002.711766,2977.450704,2964.726724,2943.7625,2931.033715,2919.251253,2940.460567,2947.174085,2949.989086,2938.397838,2958.428219,2968.343594,2960.830994,2967.468815,2984.401534,2979.665661,2976.789887,2968.919064,2983.802741,2977.039336,2964.714065,2952.931178,2970.259723,2995.739049,3021.280457,3031.017331
Episode 220,3192.35906,3182.371391,3163.289672,3160.99226,3156.609736,3152.1961,3147.435224,3144.615136,3144.416043,3141.479427,3141.065735,3137.051242,3135.406086,3131.382512,3127.079459,3138.28017,3153.673616,3170.196704,3190.906282,3202.42553,3216.881403,3236.409469,3251.818252,3264.22519,3282.946968,3301.127949,3320.767739,3337.230786,3360.012987,3384.42167,3408.674475,3424.422224,3437.785646,3451.128219,3469.089874,3498.272998
Episode 221,3172.586946,3088.757333,3046.205443,3022.549301,3001.054288,2983.100632,2950.420632,2897.116205,2865.381352,2813.609929,2790.549387,2748.593924,2725.729731,2705.173808,2735.792847,2732.716592,2720.544481,2674.542414,2702.821681,2707.396399,2670.913479,2667.786035,2689.010044,2659.040515,2633.444616,2595.995098,2608.784283,2570.250576,2518.481962,2467.958318,2486.573113,2524.597117,2562.814608,2563.468695,2472.801306,2468.065855
Episode 222,3152.814828,3075.504187,3043.794225,3019.269339,2999.658532,2967.668222,2917.121372,2886.169275,2836.905078,2814.094603,2773.904065,2751.447164,2731.214783,2760.071324,2757.609233,2746.676073,2704.095548,2731.030582,2735.817476,2702.118781,2699.700617,2720.165671,2692.562309,2669.05559,2634.391247,2647.136624,2611.594167,2563.574351,2516.704964,2534.950154,2571.502403,2608.261538,2609.629375,2524.889244,2521.166286,2561.18994
Episode 223,3146.782657,3095.999287,3073.042604,3056.104258,3033.194503,2999.701903,2977.749121,2945.017941,2928.112206,2900.864394,2884.330185,2869.206054,2891.544499,2894.971406,2893.27277,2872.316075,2893.686754,2901.598541,2886.035913,2889.56511,2907.092915,2895.244169,2885.892981,2869.704635,2883.58423,2867.886647,2844.529966,2821.864396,2839.126826,2867.633474,2896.283537,2903.222849,2857.294727,2861.102954,2891.785272,2950.887174
