,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 69,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 70,18.57870987,14.71143848,15.24405875,18.27668853,16.10456087,11.83128393,6.010316905,1.4605671,0.542495299,0.542495299,0.217948742,0.760444041,0,1.698192498,4.830405635,9.582754089,14.37908181,22.42,25.42,25.8067473,25.42,31.58176988,23.43315572,31.01667514,21.8067473,23.99512001,21.84842563,24.149,23.358,21.8067473,19.91,20.95793148,22.30817468,18.572,22.30817468,22.30817468
Episode 71,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 72,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 73,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 74,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 75,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 76,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 77,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 78,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 79,12.11575817,18.80393861,19.92773868,19.92773868,15.46091243,12.11575817,7.5,0.971629145,0.608133503,0.608133503,0.630310055,0.630310055,0.630310055,0.639468872,2.331000333,2.336095745,15.03370545,23.91063901,26.92936099,28.587,34.64814759,28.38379194,30,27.1330894,25.42,24.149,24.587,24.587,19.91,26.06920745,24.587,23.235,18.572,18.572,23.235,23.235
Episode 80,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 81,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 82,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 83,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 84,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 85,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 86,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 87,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 88,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 89,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
Episode 90,12.11575817,18.80393861,19.92773868,19.92773868,15.46091243,12.11575817,7.5,0.971629145,0.608133503,0.608133503,0.630310055,0.630310055,0.630310055,0.639468872,2.331000333,2.336095745,15.03370545,23.91063901,26.92936099,28.587,34.64814759,28.38379194,30,27.1330894,25.42,24.149,24.587,24.587,19.91,26.06920745,24.587,23.235,18.572,18.572,23.235,23.235
Episode 91,0,0,0,0,0,0,0,0,0,0,0,0,24.507,1974.149247,1974.149247,1974.149247,1974.149247,1974.149247,1971.149247,283.67172,276.6031123,200,200,199.91,110.704,105.352,100,100,100,100,100,100.918192,33.87777243,25.59305808,104,98.88339649
