,block_ch_mq_1,block_ch_mq_2,block_ch_mq_3,block_ch_mq_4,block_ch_mq_5,block_ch_mq_6,block_ch_mq_7,block_ch_mq_8,block_ch_mq_9,block_ch_mq_10,block_ch_mq_11,block_ch_mq_12,block_ch_mq_13,block_ch_mq_14,block_ch_mq_15,block_ch_mq_16,block_ch_mq_17,block_ch_mq_18,block_ch_mq_19,block_ch_mq_20,block_ch_mq_21,block_ch_mq_22,block_ch_mq_23,block_ch_mq_24,block_ch_mq_25,block_ch_mq_26,block_ch_mq_27,block_ch_mq_28,block_ch_mq_29,block_ch_mq_30,block_ch_mq_31,block_ch_mq_32,block_ch_mq_33,block_ch_mq_34,block_ch_mq_35,block_ch_mq_36
Episode 132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 134,10.299999999999995,10.98428571428571,11.486153846153844,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,12.869999999999996,13.192462858074377,15.053987693310866,17.225766667753437,19.792414546640117,22.872392001304128,26.63680889033792,31.34233000163016,37.39228571614876,45.45889333550689
Episode 135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 138,10.749230769230763,11.486153846153844,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.959999999999996,14.74796307797402,16.894240001138524,19.43074909215112,22.47456000136623,26.19477333485137,30.845040001707787,36.82395428766605,44.79584000227706,55.95648000273248
Episode 139,11.486153846153844,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.959999999999996,14.441938462637175,16.562713334523608,19.06908363766212,22.07672800142833,25.75273777936481,30.34775000178541,36.25562285918333,44.13278666904723,55.16081600285668,71.70286000357086
Episode 140,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.763636363636358,12.959999999999996,14.135913847300332,16.23118666790869,18.70741818317312,21.678896001490436,25.31070222387826,29.85046000186304,35.687291430700625,43.4697333358174,54.36515200298088,70.70828000372612,97.94682667163482
Episode 141,13.346153846153852,17.481481481481488,21.32142857142858,24.89655172413794,28.23333333333334,31.354838709677427,36.28954838711679,40.765866666687344,45.55089655174558,50.67771428573649,56.18429629631933,53.342858461562365,55.616438400024855,58.079483333359214,60.75670608698352,63.67731272730095,66.87607238098194,70.39470800003103,74.28372631582214,78.60485777781224,83.43435764709531,88.86754500003876,95.02515733337466,109.26428307697076,109.26428307697076,109.26428307697076,109.26428307697076,109.26428307697076,109.26428307697076,109.26428307697076,109.26428307697076,109.26428307697076,109.26428307697076,109.26428307697076,109.26428307697076,109.26428307697076
Episode 142,13.346153846153852,17.481481481481488,21.32142857142858,24.89655172413794,28.23333333333334,32.692774193588434,37.04920000004139,41.70606896556006,46.69557142861581,52.05466666671269,49.0543969231247,51.156438400049694,53.43365000005176,55.908880000054,58.60913090914735,61.5665485714877,64.81970800006209,68.41530526322325,72.4104133334023,76.87553411772008,81.89879500007757,87.59182400008272,100.68736000009548,100.68736000009548,100.68736000009548,100.68736000009548,100.68736000009548,100.68736000009548,100.68736000009548,100.68736000009548,100.68736000009548,100.68736000009548,100.68736000009548,100.68736000009548,100.68736000009548,100.68736000009548
Episode 143,13.346153846153852,17.481481481481488,21.32142857142858,24.89655172413794,28.23333333333334,33.33253333339542,37.86124137937457,42.71342857149509,47.92503703710607,44.765935384687054,46.69643840007454,48.78781666674431,51.06105391312449,53.54094909099377,56.25702476199347,59.24470800009315,62.54688421062436,66.21596888899236,70.31671058834485,74.9300450001164,80.15849066679081,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018,92.11043692322018
