,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 144,35.16013751,35.99447252,44.73438996,40.561,38.63,35.969,41.55482958,41.54063809,40.26585584,40.561,40.561,40.74543637,37.14281268,34.256,27.70215877,34.45661004,44.73438996,34.74810031,44.73438996,44.73438996,44.73438996,38.77914279,32.543,35.94943831,52.082736,35.969,35.969,31.67253109,38.82248271,38.00130063,36.698,34.78077808,39.07216129,56.59052523,56.59052523,56.59052523
Episode 145,35.61412137,39.71387863,40.561,38.63,35.969,41.29,41.44904413,40.26585584,40.561,40.561,40.79118313,37.20802379,35.43194209,28.275,38.66524438,43.54796756,35.52354114,43.54796756,43.54796756,43.54796756,39.04545205,33.09145611,38.50815673,43.54796756,35.969,36.698,33.61239564,38.63,36.698,35.531,35.38446107,37.83133045,43.54796756,43.54796756,43.54796756,43.54796756
Episode 146,35.87241084,39.45558916,38.63,38.63,36.698,37.03217511,34.256,37.98649208,38.39279227,38.00507939,36.698,33.13739406,23.0815283,27.57513709,41.4641837,35.969,41.4641837,41.4641837,41.4641837,39.07585962,31.0536152,35.969,41.4641837,36.94567849,35.969,30.26143337,36.698,35.969,34.256,31.86269543,33.8638163,41.4641837,41.4641837,41.4641837,41.4641837,41.4641837
Episode 147,36.698,36.698,36.698,36.698,36.698,28.275,28.11583945,28.69063887,29.63707104,28.87740815,24.3438683,20.80891018,24.3438683,36.698,32.44033755,36.698,36.698,36.698,31.814,26.48951779,34.1283518,36.698,32.94267838,30.70792726,30.70792726,30.62490596,30.80932815,30.98039947,30.70792726,32.54136714,36.698,36.698,36.698,36.698,36.698,36.698
Episode 148,0,0,0,2.003315033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.30699796,20.78230559,20.4760342,21.88696882,24.79316782,25.334,25.816,25.334,25.334,25.42,31.23532284,26.334,25.334,20.70108665,12.32366952,14.00183328,19.13218079,19.13218079
Episode 149,0,0,0,0,0,0,13.17831527,13.17831527,13.17831527,0,0,13.17831527,0,0,10.60911,0,24.60381065,13.85598232,2,2,14.07631775,14.41848721,20,24.60381065,24.60381065,24.60381065,24.60381065,24.60381065,24.60381065,24.60381065,21.70597741,23.73059065,23.358,23.09649672,24.60381065,22.37369263
Episode 150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 160,0,0,0,0,0,0.803042925,0.892433191,0.032411357,0,0,0.88998343,0,0,0.032404853,0,0,0,0,0,0,0,0,0,0,0.173454193,0,0,0.169099057,0.169098849,3.487542278,3.487542278,3.487542278,3.487542278,0.169098849,3.487542278,3.487542278
Episode 161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 171,0,0,0,0,0.845308342,1.12923795,0.124723039,0,0,0.889359165,0,0,0.124723039,0,0,0,0,0,0,0,0,0.456576307,0,0.64874959,0.469597496,0.469597496,0.649871657,0.649871657,3.583816913,3.583816913,3.583816913,3.583816913,0.649871657,3.583816913,3.583816913,3.583816913
Episode 172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 182,0,0,0,7.877417061,10.50666855,7.877417061,0,0,7.877417061,0,0,4.837899257,0,10.50666855,7.202910696,0,0,7.202910696,7.202910696,3.84187375,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855,10.50666855
Episode 183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 193,0,0,13.17831527,13.17831527,13.17831527,0,0,13.17831527,0,0,10.60911,0,15.76286626,11.85365522,2,2,11.99737171,13.94529249,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626,15.76286626
Episode 194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 204,0,13.17831527,24.149,23.358,11.816157,0,14.18493923,8.19263753,24.149,13.17831527,24.149,24.149,18.70616116,20,20,18.7936296,18.7936296,20,24.149,24.149,24.149,24.149,24.149,24.149,24.149,24.149,24.149,24.149,24.149,24.149,24.149,24.149,24.149,24.149,24.149,24.149
