,time step 1,time step 2,time step 3,time step 4,time step 5,time step 6,time step 7,time step 8,time step 9,time step 10,time step 11,time step 12,time step 13,time step 14,time step 15,time step 16,time step 17,time step 18,time step 19,time step 20,time step 21,time step 22,time step 23,time step 24,time step 25,time step 26,time step 27,time step 28,time step 29,time step 30,time step 31,time step 32,time step 33,time step 34,time step 35,time step 36
11,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354,1.642109354
12,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748,1.138788748
13,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413,2.120411413
14,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894,2.016049894
15,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101,0.118116101
16,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377,0.261521377
17,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489,0.304545489
18,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287,2.004957287
19,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698,1.016255698
20,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859,2.093283859
21,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912,1.430247912
22,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961,2.102804961
23,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449,1.656422449
24,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697,2.20210697
25,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048,1.383956048
26,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748,2.007410748
