,block_ch_mc_1,block_ch_mc_2,block_ch_mc_3,block_ch_mc_4,block_ch_mc_5,block_ch_mc_6,block_ch_mc_7,block_ch_mc_8,block_ch_mc_9,block_ch_mc_10,block_ch_mc_11,block_ch_mc_12,block_ch_mc_13,block_ch_mc_14,block_ch_mc_15,block_ch_mc_16,block_ch_mc_17,block_ch_mc_18,block_ch_mc_19,block_ch_mc_20,block_ch_mc_21,block_ch_mc_22,block_ch_mc_23,block_ch_mc_24,block_ch_mc_25,block_ch_mc_26,block_ch_mc_27,block_ch_mc_28,block_ch_mc_29,block_ch_mc_30,block_ch_mc_31,block_ch_mc_32,block_ch_mc_33,block_ch_mc_34,block_ch_mc_35,block_ch_mc_36
Episode 13,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892,919.8639415170892
Episode 14,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114,967.481016122114
Episode 15,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534,16513.328695128534
Episode 16,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466,7458.243078920466
Episode 17,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384,6404.593305271384
Episode 18,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514,972.833692092514
Episode 19,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105,1919.2905917660105
Episode 20,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342,931.7847608741342
Episode 21,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347,1363.7425956962347
Episode 22,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932,927.56581621932
