,block_dc_mc_1,block_dc_mc_2,block_dc_mc_3,block_dc_mc_4,block_dc_mc_5,block_dc_mc_6,block_dc_mc_7,block_dc_mc_8,block_dc_mc_9,block_dc_mc_10,block_dc_mc_11,block_dc_mc_12,block_dc_mc_13,block_dc_mc_14,block_dc_mc_15,block_dc_mc_16,block_dc_mc_17,block_dc_mc_18,block_dc_mc_19,block_dc_mc_20,block_dc_mc_21,block_dc_mc_22,block_dc_mc_23,block_dc_mc_24,block_dc_mc_25,block_dc_mc_26,block_dc_mc_27,block_dc_mc_28,block_dc_mc_29,block_dc_mc_30,block_dc_mc_31,block_dc_mc_32,block_dc_mc_33,block_dc_mc_34,block_dc_mc_35,block_dc_mc_36
Episode 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 23,9.140180398508956,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643,11.1565742248643
Episode 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
