,block_dc_mc_1,block_dc_mc_2,block_dc_mc_3,block_dc_mc_4,block_dc_mc_5,block_dc_mc_6,block_dc_mc_7,block_dc_mc_8,block_dc_mc_9,block_dc_mc_10,block_dc_mc_11,block_dc_mc_12,block_dc_mc_13,block_dc_mc_14,block_dc_mc_15,block_dc_mc_16,block_dc_mc_17,block_dc_mc_18,block_dc_mc_19,block_dc_mc_20,block_dc_mc_21,block_dc_mc_22,block_dc_mc_23,block_dc_mc_24,block_dc_mc_25,block_dc_mc_26,block_dc_mc_27,block_dc_mc_28,block_dc_mc_29,block_dc_mc_30,block_dc_mc_31,block_dc_mc_32,block_dc_mc_33,block_dc_mc_34,block_dc_mc_35,block_dc_mc_36
Episode 77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 78,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477,9.55126429930477
Episode 79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 89,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761,7.986731808404761
Episode 90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 100,5.405437443559928,5.405437443559928,5.405437443559928,5.405437443559928,5.405437443559928,5.405437443559928,5.405437443559928,5.405437443559928,5.405437443559928,5.405437443559928,5.405437443559928,5.405437443559928,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099,6.597918359114099
Episode 101,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124,9.048605896860124
Episode 102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 112,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885,46.48923814135885
Episode 113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 123,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234,13.46311792613234
Episode 124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 134,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451,19.15688218715451
Episode 135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 138,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765,16.803935619208765
Episode 139,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961,20.12094959758961
Episode 140,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087,12.68840152084087
Episode 141,28.719156465337125,28.719156465337125,28.719156465337125,28.719156465337125,28.719156465337125,28.719156465337125,28.719156465337125,28.719156465337125,28.719156465337125,28.719156465337125,28.719156465337125,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362,35.05482242268362
Episode 142,5.964884899102841,5.964884899102841,5.964884899102841,5.964884899102841,5.964884899102841,5.964884899102841,5.964884899102841,5.964884899102841,5.964884899102841,5.964884899102841,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154,7.280784209737154
Episode 143,20.97570242102929,20.97570242102929,20.97570242102929,20.97570242102929,20.97570242102929,20.97570242102929,20.97570242102929,20.97570242102929,20.97570242102929,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296,25.603103087227296
Episode 144,12.212536462780154,12.212536462780154,12.212536462780154,12.212536462780154,12.212536462780154,12.212536462780154,12.212536462780154,12.212536462780154,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036,14.906715576762036
Episode 145,9.58212879360577,9.58212879360577,9.58212879360577,9.58212879360577,9.58212879360577,9.58212879360577,9.58212879360577,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845,11.696019822049845
Episode 146,16.712956791837158,16.712956791837158,16.712956791837158,16.712956791837158,16.712956791837158,16.712956791837158,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932
Episode 147,16.712956791837158,16.712956791837158,16.712956791837158,16.712956791837158,16.712956791837158,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932,20.399963111832932
Episode 148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 149,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401,2159.759288406401
