,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 203,2321.021772,2349.710197,2356.79258,2361.956808,2363.1321,2364.694232,2360.078093,2352.931852,2343.977535,2333.302153,2327.397511,2319.420529,2309.89013,2300.046742,2291.844682,2280.944451,2273.009446,2266.594287,2249.921993,2231.524395,2216.408794,2199.808472,2183.618583,2168.158189,2152.089682,2136.388716,2123.342237,2109.723029,2095.978479,2082.274513,2071.51693,2062.601393,2055.000432,2042.135662,2031.811504,2026.085958
Episode 204,3086.845261,2720.473473,2603.806528,2529.609632,2466.739223,2441.812928,2403.917694,2376.75579,2343.852191,2314.280933,2325.929109,2300.056759,2303.187859,2294.594068,2259.77358,2228.551801,2231.308439,2204.375788,2196.428722,2191.845072,2188.01099,2166.884487,2171.296182,2164.135432,2142.349178,2137.076838,2118.443157,2104.908933,2078.83807,2086.656903,2070.371587,2091.618707,2088.060232,2071.428333,2068.937712,2054.467247
Episode 205,2319.397544,2332.341046,2335.943689,2336.64208,2337.082767,2330.709309,2323.037621,2314.426593,2304.93016,2297.714271,2289.473219,2280.457104,2271.273241,2262.883998,2253.161263,2244.890145,2237.364516,2221.622257,2205.023449,2190.041365,2174.322964,2158.804929,2143.645915,2128.18427,2112.903197,2098.936655,2084.686035,2070.372968,2056.079754,2046.112036,2037.057822,2028.655966,2017.639743,2007.884442,2000.413469,1991.581867
Episode 206,2317.773316,2210.037834,2177.297565,2154.9119,2126.780518,2108.651986,2097.764996,2093.55149,2073.871917,2061.495771,2054.694511,2049.202528,2038.219019,2036.696712,2024.9968,2008.058414,1998.995958,1996.039785,1981.662648,1972.527765,1961.992213,1948.923214,1938.017019,1925.839009,1904.318972,1884.821613,1865.771123,1846.581621,1842.762452,1832.440986,1817.472757,1821.144214,1815.832769,1794.232263,1782.335959,1780.189412
Episode 207,2316.149088,2335.227758,2340.488111,2336.866944,2330.841874,2323.146305,2313.985494,2307.719507,2299.980445,2291.105431,2281.937644,2273.829342,2263.831713,2255.835924,2248.873141,2232.874376,2215.650233,2200.693458,2184.686434,2168.954045,2153.723981,2138.058802,2122.645245,2109.099119,2095.147773,2081.106372,2067.09228,2056.821254,2047.85227,2039.814494,2028.037474,2018.060916,2011.352557,2002.696759,1992.083155,1982.199537
Episode 208,2314.52486,2308.661851,2298.435434,2288.971548,2279.950842,2271.278724,2262.074189,2253.17581,2244.515752,2235.923927,2227.126335,2218.713165,2209.900646,2200.881421,2186.205693,2171.780493,2156.897645,2142.229074,2127.505883,2112.681455,2097.946209,2083.160371,2067.9946,2052.911489,2037.846869,2022.776813,2013.787893,2004.53355,1995.089226,1986.408664,1977.360693,1967.645076,1958.327391,1949.410019,1940.343599,1931.204049
Episode 209,2312.900632,2376.948163,2391.354439,2393.236197,2387.498428,2389.134683,2385.457952,2377.626616,2368.458925,2362.492165,2350.138972,2344.247252,2341.712147,2323.538534,2301.185,2286.349218,2267.948055,2250.428047,2234.568189,2217.216936,2200.69296,2190.468482,2178.869184,2166.959855,2155.138429,2142.4063,2134.084517,2128.922476,2111.041442,2099.272422,2098.623536,2091.345024,2077.392407,2065.920963,2055.666495,2046.083457
Episode 210,2304.238082,2445.338644,2479.336586,2486.443007,2503.352442,2508.173955,2503.652038,2495.728829,2493.835487,2478.669963,2476.450866,2480.987868,2459.910184,2430.12139,2415.703588,2393.881682,2373.821815,2357.149341,2337.362616,2319.258547,2314.177609,2306.243837,2297.660815,2289.253867,2272.840255,2265.56664,2264.847746,2237.705545,2223.246152,2231.89194,2226.758537,2207.742883,2193.879454,2182.542213,2172.597972,2163.820781
Episode 211,2295.575535,2423.111322,2448.809168,2471.242845,2479.778625,2478.193853,2472.462948,2471.589687,2458.170244,2456.362332,2460.650315,2440.647342,2412.413648,2398.360906,2377.345451,2357.91075,2341.593579,2322.330149,2304.609709,2299.065112,2290.841258,2282.001083,2273.319188,2257.46112,2250.172208,2249.035298,2223.057736,2208.987996,2216.642662,2211.336972,2192.963243,2179.430645,2168.27076,2158.418458,2149.662089,2114.678476
Episode 212,2286.912985,2422.571083,2467.084057,2486.621596,2491.338905,2489.492762,2491.743092,2479.679708,2479.850267,2486.498706,2466.810775,2437.80307,2424.371536,2403.106984,2383.517062,2367.341559,2347.829929,2330.001185,2325.766691,2318.524422,2310.581488,2302.806715,2286.279955,2279.351167,2279.321195,2251.383032,2236.803987,2246.635387,2241.898041,2222.457867,2208.45344,2197.111973,2187.237058,2178.591853,2139.965047,2142.272856
Episode 213,2278.250435,2447.69023,2496.501085,2515.025615,2520.907992,2528.994262,2519.340755,2523.01636,2533.848586,2514.596572,2484.05446,2471.646398,2449.835414,2429.882231,2413.890841,2393.866983,2375.78641,2373.861293,2368.337685,2361.963242,2355.77625,2338.010005,2331.692227,2333.614177,2302.132298,2286.614499,2300.317626,2296.572783,2275.202506,2260.333962,2248.649013,2238.716029,2230.252774,2185.106538,2189.067882,2167.834503
Episode 214,2269.587888,2408.682203,2443.017941,2455.580724,2465.587826,2459.673466,2463.270616,2472.118119,2455.031298,2428.373495,2416.288723,2396.33738,2377.781927,2362.398129,2343.616782,2326.382531,2322.481605,2315.586049,2307.969833,2300.495751,2284.354,2277.701783,2277.889377,2250.280316,2235.931551,2245.901255,2241.342361,2222.091848,2208.247451,2197.048687,2187.304617,2178.781532,2140.229938,2142.643357,2124.026411,2125.35519
Episode 215,3084.408919,2762.220855,2653.904357,2579.663594,2545.437637,2504.777236,2475.459237,2442.552479,2413.346897,2420.623861,2395.71799,2396.808818,2387.907863,2356.134496,2327.61757,2329.14473,2304.585999,2296.859307,2292.179941,2288.229012,2269.018779,2272.469157,2265.708259,2246.006557,2240.977019,2224.112251,2211.791193,2188.348883,2195.030692,2180.309809,2198.970887,2195.596095,2180.604406,2178.20163,2165.14863,2163.182922
Episode 216,2260.925337,2319.484726,2330.062363,2333.999269,2329.133175,2327.533799,2327.884428,2312.827719,2293.166569,2280.013457,2263.150222,2246.851223,2231.962879,2215.461265,2199.643391,2189.997029,2178.950088,2167.558939,2156.226352,2143.877875,2135.944363,2131.198238,2113.461891,2101.909769,2101.723327,2094.742379,2080.882928,2069.547627,2059.4468,2050.024103,2041.170915,2020.111556,2018.247214,2006.521965,2004.147037,1994.598804
Episode 217,2252.262787,2335.226372,2356.442638,2359.121132,2363.286134,2368.985666,2355.469875,2335.179481,2323.481145,2306.491216,2290.13435,2275.633395,2258.818958,2242.89772,2235.547701,2226.226713,2216.409019,2206.660038,2193.193257,2185.896206,2183.061574,2161.979924,2149.564769,2153.115412,2147.11449,2131.432022,2119.291401,2108.881725,2099.421885,2090.760242,2063.456407,2063.192636,2049.027565,2048.040854,2036.937391,2028.4263
Episode 218,2243.60024,2280.596365,2284.054544,2284.3281,2284.155913,2271.075655,2254.354336,2241.540016,2226.023934,2210.717367,2196.25461,2180.608267,2165.365041,2154.33128,2142.313002,2130.039018,2117.790882,2106.551538,2098.365364,2092.392079,2077.334818,2066.580433,2063.774346,2056.209039,2043.813254,2033.17853,2023.403748,2014.100272,2005.193141,1988.733281,1985.776682,1975.872505,1972.552845,1964.174761,1957.091009,1956.228569
Episode 219,2234.93769,2135.737761,2096.61495,2065.327248,2043.146309,2029.589129,2009.035095,1994.329266,1979.492305,1963.124511,1949.303939,1934.756323,1911.618732,1890.53522,1870.004915,1849.442769,1844.256637,1832.780352,1816.734188,1819.534775,1813.435834,1790.847488,1778.142712,1775.484291,1769.177525,1761.090922,1752.030194,1742.149649,1758.848198,1747.436753,1750.500816,1739.849898,1739.743477,1736.943195,1721.172551,1709.852678
Episode 220,2226.27514,2244.198941,2245.475899,2234.4752,2220.275281,2207.597491,2193.090561,2178.492913,2164.252381,2149.23316,2134.383944,2121.981191,2108.975867,2095.800998,2082.627329,2072.323637,2063.833588,2056.664829,2044.016459,2033.946187,2028.669388,2020.515911,2009.433618,1999.410219,1989.902832,1980.67741,1971.689506,1959.487925,1955.489176,1947.262274,1943.040047,1935.736275,1929.218413,1926.491551,1922.463784,1913.097241
Episode 221,2217.612593,1985.581087,1908.006934,1872.828029,1833.035516,1810.101691,1789.535094,1767.112655,1751.445427,1734.85327,1698.994474,1668.076691,1638.624262,1609.246523,1608.294416,1592.822916,1566.739242,1584.965549,1582.433748,1541.151242,1523.158227,1528.919413,1526.135962,1519.193877,1509.983546,1498.860645,1545.951678,1526.446648,1541.304514,1523.62794,1531.009618,1532.012497,1502.183976,1482.935849,1507.137207,1514.367193
